x_ball, y_ball, z_ball, angle_arm, rotation0, rotation1, class
2.882,-1.766,0.901,-0.5,0.65,-0.9,6
-0.956,2.677,1.172,-3.2,-0.85,-0.5,0
2.786,-1.232,1.29,-3.65,-0.3,-0.5,2
-1.808,-2.678,2.955,-1.85,-0.7,-2.3,7
1.13,-2.086,2.472,-2.25,0.5,-0.75,6
2.508,-0.292,0.976,-2.65,-0.1,-1.75,2
1.112,-0.747,0.898,0,0,0,1
3.859,-1.302,6.16,1.1,-0.3,2.0,3
2.904,-0.769,2.109,0.2,0.8,0.5,1
-0.701,-3.81,4.447,1.05,0.1,4.35,2
4.007,-2.909,3.999,0,0,0,0
1.217,-1.741,0.002,2.15,-0.7,-1.95,2
2.038,-2.439,2.36,0,0,1.4,0
-4.333,-4.22,1.932,0.7,0.4,1.25,4
-0.269,2.663,4.769,0.6,-0.6,-0.6,7
-2.896,0.509,0.931,1.1,-0.7,-2.4,3
2.137,-3.775,2.06,1.2,-0.4,-1.9,3
1.905,-2.344,4.096,0,0,-1.55,7
-4.366,4.318,0.254,-2.7,0.1,-2.05,5
-1.253,-5.135,4.501,-5.8,-0.8,-2.05,0
-5.51,-1.95,2.318,-3.45,-0.2,-1.75,6
3.526,-3.1,1.982,-3.65,-0.2,1.6,4
-3.428,-2.781,3.102,-5.4,0.5,2.0,6
-4.291,-1.368,1.73,-7.0,0.2,1.8,5
4.686,-4.5,1.344,-7.1,0.2,2.1,3
-0.625,2.938,1.709,1.2,1.2,-1.2,6
3.276,-3.841,5.64,-0.95,-0.05,-2.55,5
5.812,-6.123,2.067,-4.85,-0.15,-1.95,1
-4.331,2.691,3.459,0.6,-0.55,-1.75,3
-5.483,-5.209,2.047,1.0,-0.35,-1.95,1
-5.521,-5.256,1.365,2.4,-0.75,-1.65,5
0.711,-1.267,7.902,-0.7,0.3,-0.3,7
-6.498,6.086,4.871,-2.6,0.4,-1.1,5
1.142,-7.645,2.985,-5.5,-1.0,-0.3,3
-1.154,-2.975,9.708,-2.5,-0.9,0.85,7
-1.905,4.029,7.339,-3.7,-0.5,0.75,0
-1.882,1.595,1.609,0.4,-0.1,0.0,7
1.9,-2.187,1.795,-0.4,-0.6,-1.4,7
1.996,-4.299,1.463,-2.25,-0.5,-2.5,4
2.602,-3.401,1.147,-3.05,-0.5,-2.3,1
4.63,-3.881,4.427,-2.85,-0.7,-2.3,0
1.456,-0.609,4.199,-2.25,-0.3,-1.8,3
2.372,-2.543,4.889,-1.95,-0.2,-1.9,5
-3.951,-3.17,0.094,-2.55,-0.1,-2.0,6
1.765,-1.613,1.342,-4.1,-0.5,-2.3,3
1.815,-1.32,5.416,-2.3,-0.4,-2.4,0
4.051,-4.528,4.751,-2.2,0.3,-2.0,7
-1.661,-1.535,3.028,-1.0,0.9,-0.9,3
2.95,-0.996,3.46,-0.9,1.0,-1.2,7
-3.025,-0.828,1.553,-2.0,0.1,-2.0,7
3.308,-4.066,2.725,-4.5,-0.2,-2.3,1
1.532,-3.958,4.009,-2.45,-0.5,-2.1,4
-0.925,1.459,0.385,-2.75,-0.3,-2.0,7
-3.264,3.685,2.033,-5.7,-0.6,-2.6,0
-0.147,-4.974,4.734,-5.5,-0.5,-2.4,0
-0.638,-2.413,1.053,-3.15,-0.3,-1.9,6
-3.41,3.592,2.341,-3.35,-0.4,-2.2,5
0.62,-3.498,4.542,-5.8,-0.5,-2.1,0
-3.559,-4.749,0.44,-2.9,-0.3,-2.0,5

